259957,Technology - Top 5 Gainers / Losers as of 3:00 PM (06/27/2018),https://seekingalpha.com/news/3366648-technology-top-5-gainers-losers-3-00-pm-06-27-2018?source=partner_benzinga,Seeking Alpha,6/27/2018 0:00,CBAK
259958,Technology - Top 5 Gainers / Losers as of 2.55 PM (06/25/2018),https://seekingalpha.com/news/3366086-technology-top-5-gainers-losers-2_55-pm-06-25-2018?source=partner_benzinga,Seeking Alpha,6/25/2018 0:00,CBAK
259959,Technology - Top 5 Gainers / Losers as of 3.00 PM (05/22/2018),https://seekingalpha.com/news/3358687-technology-top-5-gainers-losers-3_00-pm-05-22-2018?source=partner_benzinga,Seeking Alpha,5/22/2018 0:00,CBAK
259960,Technology - Top Gainers / Losers as of 3.00 pm (1/11/18),https://seekingalpha.com/news/3322464-technology-top-gainers-losers-3_00-pm-1-11-18?source=partner_benzinga,Seeking Alpha,1/11/2018 0:00,CBAK
259961,The Electric Vehicle Revolution: An Overview Of An Industry Poised For Growth,http://seekingalpha.com/article/4042481-electric-vehicle-revolution-overview-industry-poised-growth?source=partner_benzinga,Seeking Alpha,2/3/2017 0:00,CBAK
259962,Week 2 Breakout Forecast: Short-Term Picks To Give You An Edge,http://seekingalpha.com/article/4035111-week-2-breakout-forecast-short-term-picks-give-edge?source=partner_benzinga,Seeking Alpha,1/9/2017 0:00,CBAK
259963,Technology - Top 5 Gainers / Losers as of 3:00 pm,http://seekingalpha.com/news/3231507-technology-top-5-gainers-losers-3-00-pm?source=partner_benzinga,Seeking Alpha,12/19/2016 0:00,CBAK
259964,Technology - Top 5 Gainers / Losers as of 3:00 pm,http://seekingalpha.com/news/3228658-technology-top-5-gainers-losers-3-00-pm?source=partner_benzinga,Seeking Alpha,12/5/2016 0:00,CBAK
259965,Technology - Top 5 Gainers / Losers as of 3:00 pm,http://seekingalpha.com/news/3214382-technology-top-5-gainers-losers-3-00-pm?source=partner_benzinga,Seeking Alpha,10/17/2016 0:00,CBAK
259966,Chinese Electric Vehicles Continue To Boom,http://seekingalpha.com/article/3990405-chinese-electric-vehicles-continue-boom?source=partner_benzinga,Seeking Alpha,7/21/2016 0:00,CBAK
259967,China BAK Battery (CBAK) Breaks Through a Nagging Ceiling,http://www.smallcapnetwork.com/China-BAK-Battery-CBAK-Breaks-Through-a-Nagging-Ceiling/s/via/10/article/view/p/mid/3/id/691/,Small Cap Network,5/17/2016 0:00,CBAK
259968,"InsiderInsights.com Daily Round Up 3/8/16: FIT, SGEN, MLVF, ERC",http://seekingalpha.com/article/3956798-insiderinsights-com-daily-round-3-8-16-fit-sgen-mlvf-erc?source=partner_benzinga,Seeking Alpha,3/8/2016 0:00,CBAK
259969,Midday Gainers / Losers,http://seekingalpha.com/news/2819256-midday-gainers-losers?source=partner_benzinga,Seeking Alpha,10/8/2015 0:00,CBAK
259970,Midday Gainers / Losers,http://seekingalpha.com/news/2425176-midday-gainers-losers?source=partner_benzinga,Seeking Alpha,4/14/2015 0:00,CBAK
259971,"Boeing: Lithium batteries present cargo risk, backs ban",http://seekingalpha.com/news/2359536-boeing-lithium-batteries-present-cargo-risk-backs-ban?source=partner_benzinga,Seeking Alpha,3/11/2015 0:00,CBAK
259972,"Too Much, Too Fast, for China BAK Battery (TSLA, CBAK)",http://www.smallcapnetwork.com/Too-Much-Too-Fast-for-China-BAK-Battery-TSLA-CBAK/s/via/1789/article/view/p/mid/3/id/492/,Small Cap Network,2/28/2014 0:00,CBAK
259973,"Forget Tesla Motors. This is the Better Lithium Battery Play. (TSLA, CBAK)",http://www.smallcapnetwork.com/Forget-Tesla-Motors-This-is-the-Better-Lithium-Battery-Play-TSLA-CBAK/s/via/1789/article/view/p/mid/1/id/434/,Small Cap Network,2/26/2014 0:00,CBAK
259974,China BAK Battery Inc. Reports Operating Results (10-K),http://www.gurufocus.com/news/203481/china-bak-battery-inc-reports-operating-results-10k,GuruFocus,12/31/2012 0:00,CBAK
259975,"A123 Systems (AONE) Bankruptcy: Who's Left to Crash in Electric Car Batteries? JCI, CBAK, VLNCQ & HEVVQ",http://www.smallcapnetwork.com/A123-Systems-AONE-Bankruptcy-Who-s-Left-to-Crash-in-Electric-Car-Batteries-JCI-CBAK-VLNCQ-HEVVQ/s/via/3414/article/view/p/mid/1/id/1008/,Small Cap Network,10/17/2012 0:00,CBAK
259976,China BAK Battery Inc. Reports Operating Results (10-Q),http://www.gurufocus.com/news/186344/china-bak-battery-inc-reports-operating-results-10q,GuruFocus,8/9/2012 0:00,CBAK
259977,"Monday's Stocks to Watch (& Why): China BAK Battery (CBAK), Vega Biofuels (VGPR), Dialogic (DLGC)",http://www.smallcapnetwork.com/Mondays-Stocks-to-Watch-Why-China-BAK-Battery-CBAK-Vega-Biofuels-VGPR-Dialogic-DLGC/s/via/1789/article/view/p/mid/1/id/132/,Small Cap Network,3/29/2012 0:00,CBAK
259978,China BAK Battery Inc. Reports Operating Results (10-Q),http://www.gurufocus.com/news/160777/china-bak-battery-inc-reports-operating-results-10q,GuruFocus,2/8/2012 0:00,CBAK
259979,China BAK Battery Inc. Reports Operating Results (10-K),http://www.gurufocus.com/news/155811/china-bak-battery-inc-reports-operating-results-10k,GuruFocus,12/14/2011 0:00,CBAK
259980,China RTO Transfer Agent Gets SEC Sanction,https://www.benzinga.com/content/thestreet-com/11/03/904770/china-rto-transfer-agent-gets-sec-sanction,webmaster,3/4/2011 0:00,CBAK
259981,Emerging Market ADRs: Winners and Losers,https://www.benzinga.com/content/thestreet-com/11/01/820243/emerging-market-adrs-winners-and-losers,webmaster,1/31/2011 0:00,CBAK
259982,Dealmaker's Long Trip Through China RTO,https://www.benzinga.com/content/thestreet-com/10/12/725217/dealmakers-long-trip-through-china-rto,webmaster,12/22/2010 0:00,CBAK
259983,Advanced Battery Tumbles on Stock Sale,https://www.benzinga.com/content/thestreet-com/10/11/654859/advanced-battery-tumbles-on-stock-sale,webmaster,11/30/2010 0:00,CBAK
