,headline,date,snippet,source
66,Russia's Putin warns Bolivia is on the brink of chaos,14/11/2019,"and lithium as areas for cooperation.Earlier on Thursday, Russian Deputy",reuters
67,Australia's Pilbara Minerals to reopen Pilgangoora lithium project shortly -CEO,13/11/2019,"should resume operations at its Pilgangooralithium-tantalum project possibly expect.""The company is a supplier of lithium for use in electric",reuters
68,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"By Ernest ScheyderLOS ANGELES (Reuters) - The burgeoning lithium Corp , Tianqi Lithium Corp <002466.SZ> and others",reuters
69,Zimbabwe to enforce 'use it or lose it' policy for mining assets,13/11/2019,"lithium, gold and diamond deposits, but many investors fret over whether",reuters
70,Chinese national pleads guilty in U.S. court to stealing Phillips 66 trade secrets,12/11/2019,for lithium ion battery materials on Tan’s laptop. (Reporting by Eric,reuters
71,Equifax settlement faces objection campaign by class action disruptor,11/11/2019,claims in a batch for all of its eligible subscribers. In the lithium ion,reuters
72,Russia accuses Bolivian opposition of unleashing violence,11/11/2019,"to Bolivian gas and lithium as areas for cooperation. ""We are alarmed",reuters
73,NASA unveils its first electric airplane - a work in progress,09/11/2019,by specially designed lithium ion batteries - NASA deemed the Maxwell ready,reuters
74,"Albemarle's lithium prowess questioned by analysts, dragging on shares",08/11/2019,By Ernest Scheyder(Reuters) - Albemarle Corp's lithium business as prices plunge due to oversupply.Lithium companies have produced far more,reuters
75,Coal-reliant Poland's e-car push clouded by EU emissions row,08/11/2019,", spurred by efforts to combat climate change, Warsaw is counting on lithium was the EU's biggest exporter of lithium ion batteries - with sales",reuters
76,Albemarle warns of 'challenging' lithium market through next year,07/11/2019,", the world's largest lithium producer, warned on Thursday that prices market, lithium producers are in a nightmare of their own making",reuters
77,Hamstrung Zimbabwe miners call to keep export earnings in dollars,07/11/2019,"platinum reserves and large lithium, gold and diamond deposits, but many",reuters
78,RPT-COLUMN- Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,"the world, protesters were blocking accessroads to SQM's lithiumlithium, holds massive promise for the world's miners, but toreap",reuters
79,Albemarle plans $100 million cost cuts to counter low prices,06/11/2019,"years, as the world's largest lithium producer grapples with a fall details on the program on Wednesday.Supply of lithium, used to power",reuters
80,Albemarle targets over $100 mln in cost savings,06/11/2019,"in the next two years, as the world's largestlithium producer struggles",reuters
81,Livent CEO sees 'difficult environment' for lithium producers,06/11/2019,By Ernest Scheyder(Reuters) - The lithium industry is working of its annual lithium hydroxide production until 2020.While Livent,reuters
82,Livent CEO sees 'difficult environment' for lithium industry,06/11/2019,"Nov 6 (Reuters) - The lithium industry is working through""difficult lithiumhydroxide to customers until they need it in 2020.(Reporting",reuters
83,Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,"access roads to SQM's lithium operations high in Chile's Atacama revolution, at the heart of which sits lithium, holds massive promise",reuters
84,COLUMN- Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,"blocking accessroads to SQM's lithium operations high in Chile's Atacama revolution, at the heart of which sitslithium, holds massive promise",reuters
85,Volvo Cars to trace battery cobalt using blockchain technology,06/11/2019,"as it is a key mineral for makinglithium-ion batteries, but governance such as lithium and nickelin the future.(Reporting by Johannes Hellstrom; editing by Niklas Pollard)",reuters
86,Lithium Australia's unit to supply recycled battery metals to South Korean firm,05/11/2019,"(Reuters) - Lithium Australia NL said its Envirostream Australia unit metals cobalt, nickel and lithium extracted from recycled lithium-ion",reuters
87,Trump EPA plans to ease Obama-era U.S. rules on toxic coal ash,04/11/2019,Carcinogens like arsenic and neurotoxins such as lead and lithium can,reuters
88,COLUMN-Zinc and lead supply hits push expected surpluses into 2020: Andy Home,04/11/2019,"is seeing weakness inautomotive production and ""increased use of lithium-ion",reuters
89,Bolivia's lithium partnership with Germany's ACI Systems hits snag,03/11/2019,"company ACI Systems for the industrial use of lithium hit a snag when of the lithium-rich Potosi region said on Sunday.Potosi, in southwest Bolivia",reuters
90,Trading firm Traxys agrees cobalt marketing deal with Nornickel: sources,01/11/2019,is a key component of the lithium-ion rechargeable batteries of the cobalt amounts to be used for electric vehicle lithium-ion,reuters
91,Trading firm Traxys agrees cobalt marketing deal with Nornickel - sources,01/11/2019,component of the lithium-ion rechargeablebatteries that power electricvehicle lithium-ion rechargeable batteries range between 20% and45,reuters
92,Downturn in battery raw materials claims more Australian victims,01/11/2019,"outlook for demand. Major lithium producer Albemarle, which took control of Australia's Mineral Resources, moved its Wodgina lithium mine",reuters
93,"Mineral Resources, Albemarle pause Wodgina output on weak lithium market",31/10/2019,"operations at the Wodgina Project due to ""challenging"" lithium market conditions. Australian lithium producers had earlier this year flagged",reuters
